clone_id	SHM	Donor count	Donor	Tissue	Isotype
1913	0.10460606060606058	1	CCM3	Gastric_pylorus	IgM
2761	0.014814814814814815	1	CCM3	Gastric_pylorus	IgM
3422	0.0	1	CCM3	Gastric_pylorus	IgM
3594	0.029411764705882353	1	CCM3	Gastric_pylorus	IgM
4029	0.045627376425855515	1	CCM3	Gastric_pylorus	IgM
5790	0.025925925925925925	1	CCM3	Gastric_pylorus	IgM
6815	0.0036363636363636364	1	CCM3	Gastric_pylorus	IgM
7860	0.025454545454545455	1	CCM3	Gastric_pylorus	IgM
7944	0.07636363636363637	1	CCM3	Gastric_pylorus	IgM
8012	0.10181818181818182	1	CCM3	Gastric_pylorus	IgM
8059	0.01090909090909091	1	CCM3	Gastric_pylorus	IgM
8078	0.07636363636363637	1	CCM3	Gastric_pylorus	IgM
8462	0.03690036900369004	1	CCM3	Gastric_pylorus	IgM
8644	0.029411764705882353	1	CCM3	Gastric_pylorus	IgM
9204	0.018050541516245487	1	CCM3	Gastric_pylorus	IgM
9329	0.007326007326007326	1	CCM3	Gastric_pylorus	IgM
9771	0.029850746268656716	1	CCM3	Gastric_pylorus	IgM
10106	0.0	1	CCM3	Gastric_pylorus	IgM
12116	0.014234875444839857	1	CCM3	Gastric_pylorus	IgM
12615	0.07407407407407407	1	CCM3	Gastric_pylorus	IgM
12618	0.07230392156862746	1	CCM3	Gastric_pylorus	IgM
12931	0.05185185185185185	1	CCM3	Gastric_pylorus	IgM
14172	0.042279411764705885	1	CCM3	Gastric_pylorus	IgM
16830	0.02909090909090909	1	CCM3	Gastric_pylorus	IgM
16837	0.09454545454545454	1	CCM3	Gastric_pylorus	IgM
16975	0.01619834710743802	1	CCM3	Gastric_pylorus	IgM
17102	0.05818181818181818	1	CCM3	Gastric_pylorus	IgM
17195	0.04145454545454545	1	CCM3	Gastric_pylorus	IgM
17227	0.029090909090909094	1	CCM3	Gastric_pylorus	IgM
17348	0.05090909090909091	1	CCM3	Gastric_pylorus	IgM
17349	0.0	1	CCM3	Gastric_pylorus	IgM
17614	0.07063197026022304	1	CCM3	Gastric_pylorus	IgM
17859	0.05204460966542751	1	CCM3	Gastric_pylorus	IgM
17963	0.0037313432835820895	1	CCM3	Gastric_pylorus	IgM
18500	0.022058823529411766	2	CCM3	Gastric_pylorus	IgM
18613	0.058823529411764705	1	CCM3	Gastric_pylorus	IgM
18614	0.011235955056179775	1	CCM3	Gastric_pylorus	IgM
18683	0.07037037037037037	1	CCM3	Gastric_pylorus	IgM
18701	0.0830188679245283	1	CCM3	Gastric_pylorus	IgM
18703	0.06367041198501873	1	CCM3	Gastric_pylorus	IgM
19064	0.05970149253731343	1	CCM3	Gastric_pylorus	IgM
19155	0.015343915343915342	1	CCM3	Gastric_pylorus	IgM
19158	0.011111111111111112	1	CCM3	Gastric_pylorus	IgM
19211	0.02962962962962962	1	CCM3	Gastric_pylorus	IgM
19212	0.014814814814814815	1	CCM3	Gastric_pylorus	IgM
19213	0.007407407407407408	1	CCM3	Gastric_pylorus	IgM
19262	0.01845018450184502	1	CCM3	Gastric_pylorus	IgM
19436	0.025830258302583026	1	CCM3	Gastric_pylorus	IgM
20361	0.0	1	CCM3	Gastric_pylorus	IgM
20501	0.0037593984962406013	1	CCM3	Gastric_pylorus	IgM
20505	0.011235955056179775	1	CCM3	Gastric_pylorus	IgM
20540	0.01968019680196802	1	CCM3	Gastric_pylorus	IgM
20559	0.01838235294117647	1	CCM3	Gastric_pylorus	IgM
20560	0.025830258302583026	1	CCM3	Gastric_pylorus	IgM
20734	0.025925925925925925	1	CCM3	Gastric_pylorus	IgM
20762	0.03676470588235294	1	CCM3	Gastric_pylorus	IgM
20908	0.01486988847583643	1	CCM3	Gastric_pylorus	IgM
20909	0.007407407407407408	1	CCM3	Gastric_pylorus	IgM
20910	0.02941176470588235	1	CCM3	Gastric_pylorus	IgM
20911	0.029411764705882353	1	CCM3	Gastric_pylorus	IgM
21480	0.003676470588235294	1	CCM3	Gastric_pylorus	IgM
21481	0.003676470588235294	1	CCM3	Gastric_pylorus	IgM
21482	0.06985294117647059	1	CCM3	Gastric_pylorus	IgM
22129	0.05185185185185185	1	CCM3	Gastric_pylorus	IgM
22130	0.0	2	CCM3	Gastric_pylorus	IgM
22133	0.13432835820895522	1	CCM3	Gastric_pylorus	IgM
22140	0.07011070110701104	1	CCM3	Gastric_pylorus	IgM
22410	0.01098901098901099	1	CCM3	Gastric_pylorus	IgM
22730	0.025735294117647058	1	CCM3	Gastric_pylorus	IgM
22786	0.014652014652014652	1	CCM3	Gastric_pylorus	IgM
22787	0.022058823529411766	1	CCM3	Gastric_pylorus	IgM
22788	0.01845018450184502	1	CCM3	Gastric_pylorus	IgM
22789	0.01098901098901099	1	CCM3	Gastric_pylorus	IgM
22790	0.007326007326007326	1	CCM3	Gastric_pylorus	IgM
23158	0.04363636363636364	1	CCM3	Gastric_pylorus	IgM
23971	0.07462686567164178	1	CCM3	Gastric_pylorus	IgM
24830	0.045283018867924525	1	CCM3	Gastric_pylorus	IgM
24831	0.0625	1	CCM3	Gastric_pylorus	IgM
28153	0.014652014652014654	1	CCM3	Gastric_pylorus	IgM
28176	0.0	1	CCM3	Gastric_pylorus	IgM
28419	0.04901960784313725	1	CCM3	Gastric_pylorus	IgM
28422	0.03345724907063197	1	CCM3	Gastric_pylorus	IgM
28903	0.025735294117647058	1	CCM3	Gastric_pylorus	IgM
28904	0.0	1	CCM3	Gastric_pylorus	IgM
28905	0.05555555555555555	1	CCM3	Gastric_pylorus	IgM
28906	0.014705882352941176	1	CCM3	Gastric_pylorus	IgM
28907	0.003703703703703704	1	CCM3	Gastric_pylorus	IgM
29403	0.014388489208633094	1	CCM3	Gastric_pylorus	IgM
29575	0.02310469314079423	1	CCM3	Gastric_pylorus	IgM
29642	0.03237410071942446	1	CCM3	Gastric_pylorus	IgM
31137	0.04833948339483395	1	CCM3	Gastric_pylorus	IgM
31559	0.003703703703703704	1	CCM3	Gastric_pylorus	IgM
32003	0.0	1	CCM3	Gastric_pylorus	IgM
32004	0.03308823529411765	1	CCM3	Gastric_pylorus	IgM
32005	0.03333333333333333	1	CCM3	Gastric_pylorus	IgM
32080	0.12573529411764706	1	CCM3	Gastric_pylorus	IgM
