Vgene	clone_id	Isotype	Sample	Time	Min_num
IGHV4-NL_10	1986453	IgM	data-IgM	76	100
IGHV4-NL_10	507534	IgM	data-IgM	76	100
IGHV4-NL_13	472910	IgM	data-IgM	76	100
IGHV3-177	154535	IgM	data-IgM	76	100
IGHV1-138	1496764	IgM	data-IgM	76	100
IGHV3-88	1127847	IgM	data-IgM	76	100
IGHV3-88	2167169	IgM	data-IgM	76	100
IGHV3-NL_10	1465259	IgM	data-IgM	76	100
IGHV4-NL_16	845610	IgM	data-IgM	76	100
IGHV4-NL_4	2336530	IgM	data-IgM	76	100
IGHV4-NL_13	1477165	IgM	data-IgM	76	100
IGHV3-94	1233943	IgM	data-IgM	76	100
IGHV4-NL_10	2225337	IgM	data-IgM	76	100
IGHV4-93	257445	IgM	data-IgM	76	100
IGHV4-NL_3	1152669	IgM	data-IgM	76	100
IGHV4-144	81417	IgM	data-IgM	76	100
IGHV4-NL_33	992729	IgM	data-IgM	76	100
IGHV4-149	876718	IgM	data-IgM	76	100
IGHV3-NL_11	1345828	IgM	data-IgM	76	100
IGHV4-149	1786705	IgM	data-IgM	76	100
IGHV4-NL_12	1819682	IgM	data-IgM	76	100
IGHV4-NL_3	1848912	IgM	data-IgM	76	100
IGHV4-NL_1	1853136	IgM	data-IgM	76	100
IGHV4-149	514852	IgM	data-IgM	76	100
IGHV4-NL_3	1337259	IgM	data-IgM	76	100
IGHV4-NL_16	1688826	IgM	data-IgM	76	100
IGHV3-177	2173514	IgM	data-IgM	76	100
IGHV4-NL_36	1920819	IgM	data-IgM	76	100
IGHV4-NL_33	992758	IgM	data-IgM	76	100
IGHV4-NL_29	1046587	IgM	data-IgM	76	100
IGHV4-NL_28	1523118	IgM	data-IgM	76	100
IGHV3-50	1218233	IgM	data-IgM	76	100
IGHV4-144	2420499	IgM	data-IgM	76	100
IGHV4-NL_29	1071166	IgM	data-IgM	76	100
IGHV4-117	1364187	IgM	data-IgM	76	100
IGHV4-NL_3	1055038	IgM	data-IgM	76	100
IGHV4-NL_4	1762456	IgM	data-IgM	76	100
IGHV3-NL_19	35724	IgM	data-IgM	76	100
