clone_id	IsotypeList	Donor count	CDR3aa len
19864	IgM	1	12
19865	IgM	1	12
19866	IgM	1	12
20291	IgM	1	12
20381	IgM	1	12
20593	IgM	1	12
20594	IgM	1	12
20814	IgM	1	12
20914	IgM|IgA	1	12
20973	IgM	1	12
20974	IgM	1	12
20975	IgM	1	12
20976	IgM	1	12
20977	IgM	1	12
20978	IgM|IgG	1	12
20979	IgM	1	12
20980	IgM	1	12
20981	IgM	1	12
20982	IgM	1	12
20983	IgM	1	12
20984	IgM	1	12
20985	IgM	1	12
20986	IgM	1	12
20987	IgM	1	12
20988	IgM	1	12
20989	IgM	1	12
20990	IgM	1	12
20991	IgM	1	12
20992	IgM	1	12
20993	IgM	1	12
20994	IgM	1	12
21240	IgM	1	12
21241	IgM	1	12
21384	IgM	1	12
21623	IgM|IgA|IgG	1	12
21720	IgM	1	12
21752	IgM	1	12
21753	IgM	1	12
21754	IgM	1	12
21755	IgM	1	12
21756	IgM	1	12
21757	IgM	1	12
21758	IgM	1	12
21759	IgM	1	12
22363	IgM	1	12
22364	IgM	1	12
22791	IgM|IgG	2	12
22792	IgM|IgA|IgG|IgD	3	12
22795	IgM	1	12
22799	IgM	1	12
22868	IgM	1	12
22992	IgM	1	12
22993	IgE|IgM|IgA|IgG	1	12
22994	IgM	1	12
22995	IgM	1	12
22996	IgM	1	12
22997	IgM	1	12
22998	IgM	1	12
22999	IgM	1	12
23000	IgM	1	12
23001	IgM	1	12
23002	IgM	1	12
23003	IgM	1	12
23351	IgM	1	12
23452	IgM	1	12
23453	IgM	1	12
23546	IgM	1	12
23557	IgM	1	12
23558	IgM	1	12
23559	IgM	1	12
23560	IgM	1	12
23634	IgM|IgG	1	12
23664	IgM	1	12
23676	IgM	1	12
23758	IgM|IgG	1	12
23781	IgM	1	12
23782	IgM	1	12
23783	IgM	1	12
23784	IgM	1	12
23785	IgM	1	12
23786	IgM	1	12
23787	IgM	1	12
24234	IgM	1	12
24235	IgM	1	12
24330	IgM	1	12
24332	IgM	1	12
24341	IgM	1	12
24353	IgM	1	12
24391	IgM	1	12
24392	IgM	1	12
24393	IgM	1	12
24394	IgM	1	12
24395	IgM	1	12
24396	IgM	1	12
24397	IgM	1	12
24398	IgM	1	12
24399	IgM	1	12
24400	IgM	1	12
24401	IgM	1	12
24402	IgM	1	12
24403	IgM	1	12
24404	IgM	1	12
24405	IgM	1	12
24406	IgM	1	12
24407	IgM	1	12
24408	IgM	1	12
24409	IgM	1	12
24410	IgM	1	12
24411	IgM	1	12
24412	IgM	1	12
24413	IgM	1	12
24414	IgM	1	12
24415	IgM	1	12
24416	IgM	1	12
24417	IgM	1	12
24418	IgM	1	12
24419	IgM	1	12
24420	IgM	1	12
24421	IgM	1	12
24422	IgM	1	12
24423	IgM	1	12
24424	IgM	1	12
24425	IgM	1	12
24426	IgM	1	12
24427	IgM	1	12
24678	IgM	1	12
25548	IgM	1	12
25552	IgM	1	12
25575	IgM	1	12
25587	IgM	1	12
25617	IgM|IgA|IgG	1	12
25620	IgM|IgG	1	12
25632	IgM	1	12
25633	IgM	1	12
25634	IgM	1	12
25635	IgM	1	12
25636	IgM	1	12
25637	IgM	1	12
25638	IgM	1	12
25639	IgM	1	12
25640	IgM	1	12
25641	IgM	1	12
25642	IgM	1	12
25643	IgM	1	12
25644	IgM	1	12
25645	IgM	1	12
25646	IgM	1	12
25647	IgM	1	12
25648	IgM	1	12
25649	IgM	1	12
25650	IgM	1	12
25651	IgM	1	12
25652	IgM|IgA|IgG	1	12
25653	IgM	1	12
25654	IgM	1	12
25655	IgM	1	12
25656	IgM	1	12
25657	IgM	2	12
25658	IgM	1	12
25659	IgM|IgA	1	12
25660	IgM	1	12
25661	IgM	1	12
25662	IgM	1	12
25663	IgM|IgA	1	12
25664	IgM	1	12
25665	IgM	1	12
25666	IgM	1	12
25667	IgM	1	12
25668	IgM	1	12
25669	IgM	1	12
25670	IgM	1	12
25671	IgM	1	12
25672	IgM	1	12
25673	IgM	1	12
25674	IgM	1	12
25675	IgM	1	12
25676	IgM	1	12
25677	IgM	1	12
25678	IgM	1	12
25679	IgM	1	12
25680	IgM	1	12
25681	IgM	1	12
25682	IgM	1	12
25683	IgM	1	12
25684	IgM	1	12
25685	IgM	1	12
25686	IgM	1	12
25687	IgM	1	12
25688	IgM	1	12
25689	IgM	1	12
25690	IgM	1	12
25691	IgM	1	12
25692	IgM	1	12
25693	IgM	1	12
25694	IgM	1	12
25695	IgM	1	12
25696	IgM	1	12
25697	IgM	1	12
25698	IgM	1	12
25699	IgM	1	12
25700	IgM	1	12
25701	IgM	1	12
25702	IgM	1	12
