clone_id	SHM	Tissue	Group	TissueList	Tissue Count
17227	2.9090909090909096	Gastric_pylorus	Private	Gastric_pylorus	1
17347	6.545454545454546	Gastric_pylorus	Private	Gastric_pylorus	1
17348	5.090909090909091	Gastric_pylorus	Private	Gastric_pylorus	1
17349	0.0	Gastric_pylorus	Private	Gastric_pylorus	1
17612	6.679140303798713	Gastric_pylorus	Private	Gastric_pylorus	1
17614	7.063197026022304	Gastric_pylorus	Private	Gastric_pylorus	1
17859	5.204460966542751	Gastric_pylorus	Private	Gastric_pylorus	1
17963	0.373134328358209	Gastric_pylorus	Private	Gastric_pylorus	1
18500	2.205882352941177	Gastric_pylorus	Private	Gastric_pylorus	1
18613	5.882352941176471	Gastric_pylorus	Private	Gastric_pylorus	1
18614	1.1235955056179776	Gastric_pylorus	Private	Gastric_pylorus	1
18661	4.119850187265916	Gastric_pylorus	Private	Gastric_pylorus	1
18674	5.208333333333334	Gastric_pylorus	Private	Gastric_pylorus	1
18683	7.037037037037037	Gastric_pylorus	Private	Gastric_pylorus	1
18684	10.754716981132075	Gastric_pylorus	Private	Gastric_pylorus	1
18689	3.3707865168539324	Gastric_pylorus	Private	Gastric_pylorus	1
18691	7.169811320754718	Gastric_pylorus	Private	Gastric_pylorus	1
18695	7.116104868913857	Gastric_pylorus	Private	Gastric_pylorus	1
18701	8.30188679245283	Gastric_pylorus	Private	Gastric_pylorus	1
18703	6.367041198501873	Gastric_pylorus	Private	Gastric_pylorus	1
19064	6.71641791044776	Gastric_pylorus	Private	Gastric_pylorus	1
19155	1.507936507936508	Gastric_pylorus	Private	Gastric_pylorus	1
19158	1.1111111111111114	Gastric_pylorus	Private	Gastric_pylorus	1
19211	2.9629629629629632	Gastric_pylorus	Private	Gastric_pylorus	1
19212	1.4814814814814816	Gastric_pylorus	Private	Gastric_pylorus	1
19213	0.7407407407407408	Gastric_pylorus	Private	Gastric_pylorus	1
19262	2.7783807249837187	Gastric_pylorus	Private	Gastric_pylorus	1
19436	2.5830258302583027	Gastric_pylorus	Private	Gastric_pylorus	1
20361	0.0	Gastric_pylorus	Private	Gastric_pylorus	1
20385	2.640901771336553	Gastric_pylorus	Private	Gastric_pylorus	1
20394	6.347324916102641	Gastric_pylorus	Private	Gastric_pylorus	1
20396	2.5925925925925926	Gastric_pylorus	Private	Gastric_pylorus	1
20400	4.799277585415063	Gastric_pylorus	Private	Gastric_pylorus	1
20421	5.227239216967622	Gastric_pylorus	Private	Gastric_pylorus	1
20501	0.3759398496240601	Gastric_pylorus	Private	Gastric_pylorus	1
