clone_id	SHM	SHM count	Donor count	Donor	Tissue	Isotype
253163	0.01509433962264151	4.0	1.0	CCM2	BM	IgM
253164	0.0	0.0	1.0	CCM2	BM	IgM
253165	0.0	0.0	1.0	CCM2	BM	IgM
253166	0.0	0.0	1.0	CCM2	BM	IgM
253167	0.00749063670411985	2.0	1.0	CCM2	BM	IgM
253168	0.0149812734082397	4.0	1.0	CCM2	BM	IgM
253169	0.0	0.0	1.0	CCM2	BM	IgM
253170	0.0149812734082397	4.0	1.0	CCM2	BM	IgM
253171	0.0	0.0	1.0	CCM2	BM	IgM
253172	0.015037593984962405	4.0	1.0	CCM2	BM	IgM
253173	0.0	0.0	1.0	CCM2	BM	IgM
254759	0.0037174721189591076	1.0	1.0	CCM2	BM	IgM
254760	0.007380073800738007	2.0	1.0	CCM2	BM	IgM
254761	0.003676470588235294	1.0	1.0	CCM2	BM	IgM
254762	0.007380073800738007	2.0	1.0	CCM2	BM	IgM
254763	0.0	0.0	1.0	CCM2	BM	IgM
254764	0.007407407407407408	2.0	1.0	CCM2	BM	IgM
254765	0.003676470588235294	1.0	1.0	CCM2	BM	IgM
254766	0.003676470588235294	1.0	1.0	CCM2	BM	IgM
254767	0.0	0.0	1.0	CCM2	BM	IgM
255491	0.0	0.0	1.0	CCM2	BM	IgM
255492	0.0	0.0	1.0	CCM2	BM	IgM
255493	0.0	0.0	1.0	CCM2	BM	IgM
255494	0.0	0.0	1.0	CCM2	BM	IgM
255495	0.0	0.0	1.0	CCM2	BM	IgM
256750	0.039568345323741004	11.0	2.0	CCM2	BM	IgM
256781	0.025547445255474453	7.0	1.0	CCM2	BM	IgM
256782	0.0	0.0	1.0	CCM2	BM	IgM
256783	0.0	0.0	1.0	CCM2	BM	IgM
256784	0.0035971223021582736	1.0	1.0	CCM2	BM	IgM
256785	0.0	0.0	1.0	CCM2	BM	IgM
256786	0.0	0.0	1.0	CCM2	BM	IgM
256787	0.0	0.0	1.0	CCM2	BM	IgM
256788	0.0	0.0	1.0	CCM2	BM	IgM
256789	0.0	0.0	1.0	CCM2	BM	IgM
256790	0.0	0.0	1.0	CCM2	BM	IgM
256791	0.030685920577617327	8.5	1.0	CCM2	BM	IgM
257011	0.027379679144385032	7.529411764705882	2.0	CCM2	BM	IgM
257049	0.0	0.0	1.0	CCM2	BM	IgM
257050	0.0036363636363636364	1.0	1.0	CCM2	BM	IgM
257051	0.05054151624548736	14.0	1.0	CCM2	BM	IgM
257052	0.02181818181818182	6.0	1.0	CCM2	BM	IgM
257053	0.0	0.0	1.0	CCM2	BM	IgM
257054	0.02973977695167286	8.0	1.0	CCM2	BM	IgM
257055	0.06859205776173286	19.0	1.0	CCM2	BM	IgM
257056	0.0	0.0	1.0	CCM2	BM	IgM
257057	0.0	0.0	1.0	CCM2	BM	IgM
257248	0.046740467404674045	12.666666666666666	1.0	CCM2	BM	IgM
257305	0.027675276752767528	7.5	1.0	CCM2	BM	IgM
257306	0.0	0.0	1.0	CCM2	BM	IgM
257307	0.0	0.0	1.0	CCM2	BM	IgM
257308	0.022058823529411766	6.0	1.0	CCM2	BM	IgM
257776	0.014705882352941175	4.0	1.0	CCM2	BM	IgM
257954	0.0	0.0	1.0	CCM2	BM	IgM
257955	0.0	0.0	1.0	CCM2	BM	IgM
257956	0.02592592592592592	7.0	1.0	CCM2	BM	IgM
257957	0.02611940298507463	7.0	1.0	CCM2	BM	IgM
257958	0.0462962962962963	12.5	1.0	CCM2	BM	IgM
257959	0.0	0.0	1.0	CCM2	BM	IgM
257960	0.04887218045112782	13.0	1.0	CCM2	BM	IgM
257961	0.0	0.0	1.0	CCM2	BM	IgM
257962	0.0	0.0	1.0	CCM2	BM	IgM
257963	0.0	0.0	1.0	CCM2	BM	IgM
257964	0.0	0.0	1.0	CCM2	BM	IgM
257965	0.0	0.0	1.0	CCM2	BM	IgM
257966	0.0	0.0	1.0	CCM2	BM	IgM
258291	0.04	11.0	1.0	CCM2	BM	IgM
258292	0.0	0.0	1.0	CCM2	BM	IgM
258293	0.04	11.0	1.0	CCM2	BM	IgM
258294	0.040145985401459854	11.0	1.0	CCM2	BM	IgM
258295	0.08455882352941177	23.0	1.0	CCM2	BM	IgM
258296	0.06569343065693431	18.0	1.0	CCM2	BM	IgM
258297	0.018315018315018316	5.0	1.0	CCM2	BM	IgM
259135	0.0	0.0	1.0	CCM2	BM	IgM
259136	0.0	0.0	1.0	CCM2	BM	IgM
259137	0.0	0.0	1.0	CCM2	BM	IgM
259138	0.0	0.0	1.0	CCM2	BM	IgM
259139	0.007220216606498195	2.0	1.0	CCM2	BM	IgM
259203	0.018656716417910446	5.0	1.0	CCM2	BM	IgM
259242	0.014814814814814815	4.0	1.0	CCM2	BM	IgM
259243	0.0	0.0	1.0	CCM2	BM	IgM
259244	0.0	0.0	1.0	CCM2	BM	IgM
259408	0.03731343283582089	10.0	1.0	CCM2	BM	IgM
259428	0.0	0.0	1.0	CCM2	BM	IgM
259429	0.0	0.0	1.0	CCM2	BM	IgM
259430	0.0	0.0	1.0	CCM2	BM	IgM
259431	0.018656716417910446	5.0	1.0	CCM2	BM	IgM
259432	0.0	0.0	1.0	CCM2	BM	IgM
259433	0.0	0.0	1.0	CCM2	BM	IgM
259703	0.0	0.0	1.0	CCM2	BM	IgM
260554	0.018518518518518517	5.0	1.0	CCM2	BM	IgM
261498	0.0	0.0	1.0	CCM2	BM	IgM
261499	0.01838235294117647	5.0	1.0	CCM2	BM	IgM
261500	0.01824817518248175	5.0	1.0	CCM2	BM	IgM
261812	0.013108614232209739	3.5	1.0	CCM2	BM	IgM
261885	0.042767295597484274	11.333333333333334	1.0	CCM2	BM	IgM
261886	0.0149812734082397	4.0	1.0	CCM2	BM	IgM
261887	0.056179775280898875	15.0	1.0	CCM2	BM	IgM
261888	0.0	0.0	1.0	CCM2	BM	IgM
261889	0.0	0.0	1.0	CCM2	BM	IgM
261890	0.007462686567164179	2.0	1.0	CCM2	BM	IgM
261891	0.00749063670411985	2.0	1.0	CCM2	BM	IgM
261892	0.06060606060606061	16.0	1.0	CCM2	BM	IgM
261893	0.00749063670411985	2.0	1.0	CCM2	BM	IgM
261894	0.0	0.0	1.0	CCM2	BM	IgM
261895	0.0	0.0	1.0	CCM2	BM	IgM
261896	0.0449438202247191	12.0	1.0	CCM2	BM	IgM
262379	0.0	0.0	1.0	CCM2	BM	IgM
262380	0.0	0.0	1.0	CCM2	BM	IgM
262381	0.0	0.0	1.0	CCM2	BM	IgM
262382	0.0	0.0	1.0	CCM2	BM	IgM
262383	0.007352941176470588	2.0	1.0	CCM2	BM	IgM
262384	0.0	0.0	1.0	CCM2	BM	IgM
262385	0.0	0.0	1.0	CCM2	BM	IgM
